ano,matricula
1957,53450
1958,55048
1959,57584
1960,62319
1961,62094
1962,68454
1963,69839
1964,72206
1965,73678
1966,73348
1967,79355
1968,75631
1969,77078
1970,77958
1971,77293
1972,75818
1973,71726
1974,66892
1975,65505
1976,69406
1977,68292
1978,61410
1979,59110
1980,62427
1981,64280
1982,63021
1983,73487
1984,76239
1985,81199
1986,86918
1987,89262
1988,91707
1989,92636
1990,94066
1991,102358
1992,106860
1993,104848
1994,103442
1995,104128
1996,107456
1997,105314
1998,102992
1999,103331
2000,101073
2001,98150
2002,99388
2003,98139
2004,96397
2005,95811
2006,98868
